Bahan,Deskripsi Lengkap
Tomat,"Tomat adalah bahan makanan yang umum digunakan dalam berbagai masakan dan memiliki karakteristik khas. Tomat: Bahan makanan ini mengandung sekitar 20 kalori per 100 gram. Protein yang terkandung adalah 1.0 gram, yang berguna untuk membangun dan memperbaiki jaringan tubuh. Kandungan lemaknya sebesar 0.3 gram, yang merupakan sumber energi penting. Karbohidrat yang terdapat sebanyak 4.2 gram, berfungsi sebagai sumber energi utama tubuh. Serat pangan sebesar 1.2 gram mendukung kesehatan pencernaan. Mineral penting seperti kalsium sebanyak 15 mg membantu menjaga kekuatan tulang dan gigi, dan zat besi sebanyak 0.3 mg penting untuk pembentukan sel darah merah. Vitamin C sebanyak 23 mg mendukung sistem kekebalan tubuh dan kesehatan kulit. Bahan ini baik untuk dikonsumsi sebagai bagian dari diet seimbang. Umumnya berasal dari sumber alami seperti hewan atau tumbuhan. Umur simpannya bervariasi tergantung cara penyimpanan, namun sebaiknya disimpan di tempat sejuk dan kering atau dalam lemari pendingin untuk memperpanjang kesegarannya."
Udang,"Udang adalah bahan makanan yang umum digunakan dalam berbagai masakan dan memiliki karakteristik khas. Udang: Bahan makanan ini mengandung sekitar 91 kalori per 100 gram. Protein yang terkandung adalah 18.4 gram, yang berguna untuk membangun dan memperbaiki jaringan tubuh. Kandungan lemaknya sebesar 1.0 gram, yang merupakan sumber energi penting. Karbohidrat yang terdapat sebanyak 0.9 gram, berfungsi sebagai sumber energi utama tubuh. Serat pangan sebesar 0.0 gram mendukung kesehatan pencernaan. Mineral penting seperti kalsium sebanyak 106 mg membantu menjaga kekuatan tulang dan gigi, dan zat besi sebanyak 1.8 mg penting untuk pembentukan sel darah merah. Vitamin C sebanyak 0 mg mendukung sistem kekebalan tubuh dan kesehatan kulit. Bahan ini baik untuk dikonsumsi sebagai bagian dari diet seimbang. Umumnya berasal dari sumber alami seperti hewan atau tumbuhan. Umur simpannya bervariasi tergantung cara penyimpanan, namun sebaiknya disimpan di tempat sejuk dan kering atau dalam lemari pendingin untuk memperpanjang kesegarannya."
Ubi Jalar,"Ubi Jalar adalah bahan makanan yang umum digunakan dalam berbagai masakan dan memiliki karakteristik khas. Ubi Jalar: Bahan makanan ini mengandung sekitar 123 kalori per 100 gram. Protein yang terkandung adalah 1.6 gram, yang berguna untuk membangun dan memperbaiki jaringan tubuh. Kandungan lemaknya sebesar 0.3 gram, yang merupakan sumber energi penting. Karbohidrat yang terdapat sebanyak 28.2 gram, berfungsi sebagai sumber energi utama tubuh. Serat pangan sebesar 3.9 gram mendukung kesehatan pencernaan. Mineral penting seperti kalsium sebanyak 30 mg membantu menjaga kekuatan tulang dan gigi, dan zat besi sebanyak 0.7 mg penting untuk pembentukan sel darah merah. Vitamin C sebanyak 29 mg mendukung sistem kekebalan tubuh dan kesehatan kulit. Bahan ini baik untuk dikonsumsi sebagai bagian dari diet seimbang. Umumnya berasal dari sumber alami seperti hewan atau tumbuhan. Umur simpannya bervariasi tergantung cara penyimpanan, namun sebaiknya disimpan di tempat sejuk dan kering atau dalam lemari pendingin untuk memperpanjang kesegarannya."
Usus Ayam,"Usus Ayam adalah bahan makanan yang umum digunakan dalam berbagai masakan dan memiliki karakteristik khas. Usus Ayam: Bahan makanan ini mengandung sekitar 170 kalori per 100 gram. Protein yang terkandung adalah 23.0 gram, yang berguna untuk membangun dan memperbaiki jaringan tubuh. Kandungan lemaknya sebesar 8.4 gram, yang merupakan sumber energi penting. Karbohidrat yang terdapat sebanyak 0.0 gram, berfungsi sebagai sumber energi utama tubuh. Serat pangan sebesar 0.0 gram mendukung kesehatan pencernaan. Mineral penting seperti kalsium sebanyak 12 mg membantu menjaga kekuatan tulang dan gigi, dan zat besi sebanyak 3.0 mg penting untuk pembentukan sel darah merah. Vitamin C sebanyak 0 mg mendukung sistem kekebalan tubuh dan kesehatan kulit. Bahan ini baik untuk dikonsumsi sebagai bagian dari diet seimbang. Umumnya berasal dari sumber alami seperti hewan atau tumbuhan. Umur simpannya bervariasi tergantung cara penyimpanan, namun sebaiknya disimpan di tempat sejuk dan kering atau dalam lemari pendingin untuk memperpanjang kesegarannya."
Wortel,"Wortel adalah bahan makanan yang umum digunakan dalam berbagai masakan dan memiliki karakteristik khas. Wortel: Bahan makanan ini mengandung sekitar 36 kalori per 100 gram. Protein yang terkandung adalah 1.2 gram, yang berguna untuk membangun dan memperbaiki jaringan tubuh. Kandungan lemaknya sebesar 0.3 gram, yang merupakan sumber energi penting. Karbohidrat yang terdapat sebanyak 8.6 gram, berfungsi sebagai sumber energi utama tubuh. Serat pangan sebesar 1.2 gram mendukung kesehatan pencernaan. Mineral penting seperti kalsium sebanyak 80 mg membantu menjaga kekuatan tulang dan gigi, dan zat besi sebanyak 1.0 mg penting untuk pembentukan sel darah merah. Vitamin C sebanyak 8 mg mendukung sistem kekebalan tubuh dan kesehatan kulit. Bahan ini baik untuk dikonsumsi sebagai bagian dari diet seimbang. Umumnya berasal dari sumber alami seperti hewan atau tumbuhan. Umur simpannya bervariasi tergantung cara penyimpanan, namun sebaiknya disimpan di tempat sejuk dan kering atau dalam lemari pendingin untuk memperpanjang kesegarannya."
Tahu,"Tahu adalah produk olahan kedelai yang populer di banyak masakan Asia. Tahu: Bahan makanan ini mengandung sekitar 80 kalori per 100 gram. Protein yang terkandung adalah 8.0 gram, yang membantu pembentukan otot dan jaringan tubuh. Kandungan lemaknya sebesar 4.7 gram, memberikan sumber energi tambahan. Karbohidrat yang terdapat sebanyak 1.9 gram berperan sebagai sumber energi utama. Serat pangan sebesar 0.1 gram mendukung sistem pencernaan. Kalsium sebanyak 124 mg sangat baik untuk menjaga kekuatan tulang, dan zat besi sebesar 1.6 mg membantu pembentukan hemoglobin dalam darah. Kandungan vitamin C sebesar 0 mg menunjukkan bahwa tahu bukan sumber utama vitamin ini, tetapi tetap bergizi tinggi. Tahu merupakan bahan makanan nabati yang mudah diserap tubuh dan sering digunakan sebagai pengganti daging. Umur simpannya cukup pendek dan sebaiknya disimpan dalam lemari es serta direndam dalam air bersih yang diganti setiap hari."
Lada,"Lada hitam adalah rempah-rempah yang dihasilkan dari buah tanaman Piper nigrum yang dikeringkan. Lada Hitam: Bahan makanan ini mengandung sekitar 251 kalori per 100 gram. Protein sebesar 10.4 gram membantu perbaikan sel dan jaringan. Kandungan lemak sebesar 3.3 gram memberikan energi tambahan. Karbohidratnya cukup tinggi, sekitar 64.8 gram, yang menjadi sumber energi. Serat pangan sebesar 25.3 gram sangat tinggi dan membantu memperlancar sistem pencernaan. Kalsium sebanyak 443 mg penting untuk kesehatan tulang, dan zat besi sebesar 9.7 mg sangat bermanfaat dalam mencegah anemia. Vitamin C sebesar 21 mg membantu meningkatkan sistem kekebalan tubuh. Lada hitam biasanya digunakan dalam jumlah kecil sebagai penyedap makanan, namun kandungan nutrisinya tetap signifikan. Sebaiknya disimpan di tempat yang kering dan tertutup rapat untuk menjaga aroma dan khasiatnya."
Merica,"Merica putih berasal dari buah tanaman lada yang telah direndam dan dikupas kulit luarnya. Merica Putih: Bahan makanan ini mengandung sekitar 296 kalori per 100 gram. Kandungan protein sebesar 10.4 gram berguna untuk regenerasi sel tubuh. Lemak sebesar 2.1 gram menyediakan energi. Karbohidrat yang terkandung sebesar 69.6 gram berfungsi sebagai sumber energi utama. Serat pangan sebanyak 26.2 gram sangat bermanfaat bagi kesehatan pencernaan. Kalsium sebesar 265 mg penting untuk kekuatan tulang dan gigi, dan zat besi sebanyak 14.0 mg membantu pembentukan darah. Vitamin C sebesar 0 mg menunjukkan bahwa merica bukan sumber vitamin ini. Merica putih memiliki rasa yang lebih halus dibanding lada hitam dan biasa digunakan dalam masakan berkuah atau berwarna terang. Simpan di tempat kering dan kedap udara agar tidak kehilangan aroma."
Tempe,"Tempe adalah makanan tradisional Indonesia yang terbuat dari fermentasi kedelai. Tempe: Bahan makanan ini mengandung sekitar 192 kalori per 100 gram. Kandungan proteinnya tinggi, sekitar 20.8 gram, sangat baik untuk pertumbuhan dan perbaikan sel. Lemak sebesar 11.0 gram memberikan energi dan membantu penyerapan vitamin larut lemak. Karbohidrat sebesar 8.0 gram berfungsi sebagai sumber energi. Serat pangan sebanyak 1.4 gram mendukung sistem pencernaan. Kalsium sebesar 155 mg membantu menjaga kesehatan tulang dan gigi, sementara zat besi sebesar 2.7 mg penting untuk transportasi oksigen dalam darah. Vitamin C sebesar 0 mg membuat tempe bukan sumber utama vitamin tersebut. Tempe merupakan sumber protein nabati yang kaya akan probiotik karena proses fermentasinya. Simpan tempe di lemari es agar tetap segar dan aman dikonsumsi."
Susu Sapi,"Susu sapi adalah cairan bergizi tinggi yang berasal dari hewan ternak dan menjadi sumber makanan penting di berbagai budaya. Susu Sapi: Bahan ini mengandung sekitar 61 kalori per 100 ml. Protein sebesar 3.2 gram membantu pertumbuhan dan perkembangan jaringan tubuh. Kandungan lemak sebanyak 3.3 gram menyediakan energi dan membantu penyerapan vitamin. Karbohidrat sebanyak 4.8 gram, terutama dalam bentuk laktosa, merupakan sumber energi utama. Serat pangan sebesar 0.0 gram, karena susu tidak mengandung serat. Kalsium sebesar 113 mg sangat berperan dalam pembentukan tulang dan gigi yang kuat, sementara zat besi hanya sebesar 0.1 mg, menjadikan susu bukan sumber utama zat besi. Vitamin C sebesar 0 mg menandakan bahwa susu perlu dilengkapi dengan makanan lain yang mengandung vitamin ini. Susu harus disimpan dalam lemari pendingin dan dikonsumsi sebelum tanggal kedaluwarsa untuk menjaga kesegarannya."
